EdgeID,from_id,to_id,Timestamp,Amount Sent,Sent Currency,Amount Received,Received Currency,Payment Format,Is Laundering,Hour
1577245,116261,116261,36000,1444.61,2,1692.77,0,3,0,10
1577246,116261,391406,36000,1692.77,0,1692.77,0,3,1,10
2172605,293325,344377,36000,7470.589999999999,0,7470.589999999999,0,1,0,10
2172630,348803,3587,36000,18083.01,0,18083.01,0,2,0,10
2172643,1985,4365,36000,271.7,0,271.7,0,1,0,10
2172654,304212,5767,36000,108.99,0,108.99,0,4,0,10
2172720,1459,352846,36000,25193.98,0,25193.98,0,2,0,10
2172750,10609,13608,36000,7036.38,0,7036.38,0,1,0,10
2172757,135,34868,36000,539.4399999999999,0,539.4399999999999,0,1,0,10
2172761,10886,14856,36000,959.87,0,959.87,0,2,0,10
2172806,13361,12505,36000,1545.86,0,1545.86,0,1,0,10
2172823,10697,17492,36000,19.83,0,19.83,0,2,0,10
2172831,8644,321972,36000,541.84,0,541.84,0,1,0,10
2172842,3733,19419,36000,1037.07,0,1037.07,0,1,0,10
2172853,265658,19555,36000,177.56,0,177.56,0,4,0,10
2172868,18581,272823,36000,2291.7799999999997,0,2291.7799999999997,0,2,0,10
2172953,23366,25579,36000,2734.54,0,2734.54,0,1,0,10
2173016,11443,33285,36000,75.42999999999999,0,75.42999999999999,0,1,0,10
2173105,135,286506,36000,7385.429999999999,0,7385.429999999999,0,2,0,10
2173122,10339,40968,36000,4233.0,0,4233.0,0,1,0,10
2173147,135,335737,36000,18481.11,0,18481.11,0,2,0,10
2173170,9921,26381,36000,192.03,0,192.03,0,2,0,10
2173203,135,399952,36000,374.39,0,374.39,0,1,0,10
2173208,10051,266358,36000,3185.06,0,3185.06,0,2,0,10
2173256,1964,293076,36000,5269.639999999999,0,5269.639999999999,0,2,0,10
2173302,23648,53486,36000,4874.099999999999,0,4874.099999999999,0,1,0,10
2173303,23648,53486,36000,4846.65,0,4846.65,0,2,0,10
2173307,272555,54239,36000,6786.929999999999,0,6786.929999999999,0,4,0,10
2173384,331138,331216,36000,1615.63,0,1615.63,0,1,0,10
